MemberID,ChineseName,EnglishName,Email,Gender,Birth,Education,MaritalStatus,StartDate,Age,AgeRange
4,傅淑萍,Liam,liam4@gmail.com,女性,1962-1-14 12:00:00,五專,M,2008-1-26 12:00:00,51,50~59歲
10,戴婷婷,Noah,noah10@gmail.com,女性,1961-7-6 12:00:00,五專,M,2008-2-29 12:00:00,51,50~59歲
11,夏韋淑,Oliver,oliver11@gmail.com,女性,1961-11-6 12:00:00,五專,M,2008-1-8 12:00:00,51,50~59歲
25,懷仁世,Elijah,elijah25@gmail.com,女性,1961-10-15 12:00:00,五專,M,2008-6-26 12:00:00,51,50~59歲
54,毛鈺婷,James,james54@gmail.com,女性,1962-2-28 12:00:00,五專,M,2008-8-9 12:00:00,51,50~59歲
55,王采土,William,william55@gmail.com,女性,1962-1-9 12:00:00,五專,M,2008-2-18 12:00:00,51,50~59歲
70,鄭定娟,Benjamin,benjamin70@gmail.com,女性,1962-3-23 12:00:00,五專,M,2008-1-24 12:00:00,51,50~59歲
78,林欣怡,Lucas,lucas78@gmail.com,女性,1961-11-6 12:00:00,五專,M,2007-11-23 12:00:00,51,50~59歲
93,吳建志,Henry,henry93@gmail.com,女性,1962-1-6 12:00:00,五專,M,2008-7-16 12:00:00,51,50~59歲
109,林培南,Theodore,theodore109@gmail.com,女性,1961-9-30 12:00:00,五專,M,2008-1-19 12:00:00,51,50~59歲
119,楊雲平,Jack,jack119@gmail.com,女性,1961-11-20 12:00:00,五專,M,2008-5-29 12:00:00,51,50~59歲
128,王怡靜,Levi,levi128@gmail.com,女性,1962-3-30 12:00:00,五專,M,2007-4-28 12:00:00,51,50~59歲
137,林和燕,Alexander,alexander137@gmail.com,女性,1961-7-30 12:00:00,五專,M,2007-6-7 12:00:00,51,50~59歲
139,荀雅惠,Jackson,jackson139@gmail.com,女性,1962-3-20 12:00:00,五專,M,2007-8-22 12:00:00,51,50~59歲
151,葉正惠,Mateo,mateo151@gmail.com,女性,1962-2-1 12:00:00,五專,M,2008-3-12 12:00:00,51,50~59歲
168,詹千慧,Daniel,daniel168@gmail.com,女性,1962-3-29 12:00:00,五專,M,2008-10-4 12:00:00,51,50~59歲
183,吳欣儀,Michael,michael183@gmail.com,女性,1961-8-4 12:00:00,五專,M,2007-9-6 12:00:00,51,50~59歲
255,林志明,Mason,mason255@gmail.com,女性,1961-6-10 12:00:00,五專,M,2008-5-15 12:00:00,51,50~59歲
256,楊惟萱,Sebastian,sebastian256@gmail.com,女性,1961-4-19 12:00:00,五專,M,2007-6-9 12:00:00,51,50~59歲
271,王佳琪,Ethan,ethan271@gmail.com,女性,1961-10-9 12:00:00,五專,M,2008-8-12 12:00:00,51,50~59歲
272,方慧君,Logan,logan272@gmail.com,女性,1961-9-5 12:00:00,五專,M,2008-8-6 12:00:00,51,50~59歲
289,尚虎帆,Owen,owen289@gmail.com,女性,1961-4-16 12:00:00,五專,M,2008-9-30 12:00:00,51,50~59歲
304,黃禮儀,Samuel,samuel304@gmail.com,女性,1961-9-12 12:00:00,五專,M,2008-11-11 12:00:00,51,50~59歲
357,楊佑依,Jacob,jacob357@gmail.com,女性,1962-1-15 12:00:00,五專,M,2008-1-15 12:00:00,51,50~59歲
358,藍雅婷,Asher,asher358@gmail.com,女性,1961-7-6 12:00:00,五專,M,2008-1-14 12:00:00,51,50~59歲
361,賴雅雯,Aiden,aiden361@gmail.com,女性,1962-3-2 12:00:00,五專,M,2008-2-23 12:00:00,51,50~59歲
363,葉慈智,John,john363@gmail.com,女性,1961-10-8 12:00:00,五專,M,2008-1-17 12:00:00,51,50~59歲
365,葉佳怡,Joseph,joseph365@gmail.com,女性,1961-7-1 12:00:00,五專,M,2008-1-31 12:00:00,51,50~59歲
398,林玉婷,Wyatt,wyatt398@gmail.com,女性,1961-11-16 12:00:00,五專,M,2008-5-28 12:00:00,51,50~59歲
429,林佳蓉,David,david429@gmail.com,女性,1961-9-19 12:00:00,五專,M,2008-9-21 12:00:00,51,50~59歲
462,沙淑娟,Leo,leo462@gmail.com,女性,1961-4-19 12:00:00,五專,M,2008-2-20 12:00:00,51,50~59歲
484,趙韻如,Luke,luke484@gmail.com,女性,1962-3-15 12:00:00,五專,M,2008-10-11 12:00:00,51,50~59歲
558,林行鴻,Julian,julian558@gmail.com,女性,1961-7-21 12:00:00,五專,M,2008-8-22 12:00:00,51,50~59歲
566,陳建文,Hudson,hudson566@gmail.com,女性,1961-7-6 12:00:00,五專,M,2008-3-25 12:00:00,51,50~59歲
657,黃淑惠,Grayson,grayson657@gmail.com,女性,1961-7-30 12:00:00,五專,M,2008-3-31 12:00:00,51,50~59歲
660,劉嘉玲,Matthew,matthew660@gmail.com,女性,1961-11-21 12:00:00,五專,M,2007-5-11 12:00:00,51,50~59歲
672,黃雅玲,Ezra,ezra672@gmail.com,女性,1961-9-26 12:00:00,五專,M,2008-6-3 12:00:00,51,50~59歲
684,彭靜宜,Gabriel,gabriel684@gmail.com,女性,1962-3-2 12:00:00,五專,M,2006-10-2 12:00:00,51,50~59歲
685,張佳琪,Carter,carter685@gmail.com,女性,1961-9-13 12:00:00,五專,M,2006-9-14 12:00:00,51,50~59歲
729,杜淑珍,Isaac,isaac729@gmail.com,女性,1961-12-17 12:00:00,五專,M,2008-10-24 12:00:00,51,50~59歲
732,莊佳玲,Jayden,jayden732@gmail.com,女性,1961-9-3 12:00:00,五專,M,2007-11-3 12:00:00,51,50~59歲
733,游雅惠,Luca,luca733@gmail.com,女性,1961-12-30 12:00:00,五專,M,2007-11-6 12:00:00,51,50~59歲
736,何怡靜,Anthony,anthony736@gmail.com,女性,1961-11-30 12:00:00,五專,M,2008-2-2 12:00:00,51,50~59歲
764,張瑞彬,Dylan,dylan764@gmail.com,女性,1961-7-25 12:00:00,五專,M,2008-1-29 12:00:00,51,50~59歲
774,張俊宏,Lincoln,lincoln774@gmail.com,女性,1961-10-11 12:00:00,五專,M,2008-11-1 12:00:00,51,50~59歲
780,褚綺奇,Thomas,thomas780@gmail.com,女性,1961-12-21 12:00:00,五專,M,2008-3-23 12:00:00,51,50~59歲
790,黃玉珍,Maverick,maverick790@gmail.com,女性,1961-6-8 12:00:00,五專,M,2008-4-24 12:00:00,51,50~59歲
791,秦惠美,Elias,elias791@gmail.com,女性,1962-2-5 12:00:00,五專,M,2008-2-10 12:00:00,51,50~59歲
807,謝月夢,Josiah,josiah807@gmail.com,女性,1962-4-5 12:00:00,五專,M,2006-8-16 12:00:00,51,50~59歲
808,陳萱水,Charles,charles808@gmail.com,女性,1962-4-15 12:00:00,五專,M,2006-8-19 12:00:00,51,50~59歲
816,吳曉蘭,Caleb,caleb816@gmail.com,女性,1961-9-2 12:00:00,五專,M,2008-8-11 12:00:00,51,50~59歲
834,夏祥,Christopher,christopher834@gmail.com,女性,1961-8-5 12:00:00,五專,M,2008-4-27 12:00:00,51,50~59歲
846,林心怡,Ezekiel,ezekiel846@gmail.com,女性,1961-7-15 12:00:00,五專,M,2007-5-9 12:00:00,51,50~59歲
848,洪佳穎,Miles,miles848@gmail.com,女性,1962-4-5 12:00:00,五專,M,2007-5-7 12:00:00,51,50~59歲
855,林佳樺,Jaxon,jaxon855@gmail.com,女性,1962-3-5 12:00:00,五專,M,2008-2-5 12:00:00,51,50~59歲
859,王志豪,Isaiah,isaiah859@gmail.com,女性,1961-10-17 12:00:00,五專,M,2008-9-7 12:00:00,51,50~59歲
860,簡忠定,Andrew,andrew860@gmail.com,女性,1961-7-17 12:00:00,五專,M,2008-12-6 12:00:00,51,50~59歲
863,林玉芬,Joshua,joshua863@gmail.com,女性,1961-7-18 12:00:00,五專,M,2008-5-10 12:00:00,51,50~59歲
888,簡淑慧,Nathan,nathan888@gmail.com,女性,1961-12-20 12:00:00,五專,M,2007-11-21 12:00:00,51,50~59歲
889,詹思穎,Nolan,nolan889@gmail.com,女性,1962-1-7 12:00:00,五專,M,2007-11-15 12:00:00,51,50~59歲
890,陳詩婷,Adrian,adrian890@gmail.com,女性,1961-7-23 12:00:00,五專,M,2007-11-29 12:00:00,51,50~59歲
891,蔡宛臻,Cameron,cameron891@gmail.com,女性,1961-6-9 12:00:00,五專,M,2007-10-28 12:00:00,51,50~59歲
906,李韻如,Santiago,santiago906@gmail.com,女性,1961-9-30 12:00:00,五專,M,2006-3-13 12:00:00,51,50~59歲
937,李婉玲,Eli,eli937@gmail.com,女性,1962-2-27 12:00:00,五專,M,2008-4-15 12:00:00,51,50~59歲
938,陳惠婷,Aaron,aaron938@gmail.com,女性,1962-1-14 12:00:00,五專,M,2008-2-19 12:00:00,51,50~59歲
944,郭明哲,Ryan,ryan944@gmail.com,女性,1962-4-10 12:00:00,五專,M,2008-5-24 12:00:00,51,50~59歲
950,許佳雯,Angel,angel950@gmail.com,女性,1962-1-5 12:00:00,五專,M,2006-10-21 12:00:00,51,50~59歲
953,黎俊男,Cooper,cooper953@gmail.com,女性,1962-3-19 12:00:00,五專,M,2008-1-19 12:00:00,51,50~59歲
2454,嚴怡君,Waylon,waylon2454@gmail.com,男性,1961-9-3 12:00:00,五專,M,2008-2-10 12:00:00,51,50~59歲
2470,王家豪,Easton,easton2470@gmail.com,男性,1962-3-11 12:00:00,五專,M,2008-7-14 12:00:00,51,50~59歲
2521,黃佩珊,Kai,kai2521@gmail.com,男性,1961-10-10 12:00:00,五專,M,2008-2-6 12:00:00,51,50~59歲
2527,趙泰聖,Christian,christian2527@gmail.com,男性,1961-9-30 12:00:00,五專,M,2008-3-11 12:00:00,51,50~59歲
2540,李建良,Landon,landon2540@gmail.com,男性,1961-8-30 12:00:00,五專,M,2008-2-28 12:00:00,51,50~59歲
2555,蔣韻如,Colton,colton2555@gmail.com,男性,1961-9-12 12:00:00,五專,M,2008-3-15 12:00:00,51,50~59歲
2580,曾曉君,Roman,roman2580@gmail.com,男性,1962-3-11 12:00:00,五專,M,2008-10-30 12:00:00,51,50~59歲
